Unnamed: 0,Key,Category,QuestionNumber,matchOrnomatch,Difficulty,verdict,ResponseTime,routineStart,routineStamp,routineEnd,Cat2FeedbackTime
0,1spl1,1,spl1,match,Easy,CORRECT,10.369815700003528,1680003249.7893205,"28/03/2023, 17:04:09",1680003260.159136,0.9550855799985584
1,1spl2,1,spl2,nomatch,Easy,CORRECT,7.913991500012344,1680003260.2791028,"28/03/2023, 17:04:20",1680003268.1930945,0.9550855799985584
2,1Item1,1,Item1,match,Easy,CORRECT,7.654472000009264,1680003268.2248054,"28/03/2023, 17:04:28",1680003275.8792777,0.9550855799985584
3,1Item2,1,Item2,match,Easy,CORRECT,14.597205400001258,1680003275.9004655,"28/03/2023, 17:04:35",1680003290.497671,0.9550855799985584
4,1Item3,1,Item3,match,Easy,CORRECT,16.47656550000829,1680003290.5223696,"28/03/2023, 17:04:50",1680003306.9989352,0.9550855799985584
5,1Item4,1,Item4,match,Medium,CORRECT,17.546051800003625,1680003307.02309,"28/03/2023, 17:05:07",1680003324.5691416,0.9550855799985584
6,1Item5,1,Item5,nomatch,Medium,CORRECT,26.0444800999976,1680003324.5863173,"28/03/2023, 17:05:24",1680003350.6307974,0.9550855799985584
7,1Item6,1,Item6,match,Medium,CORRECT,8.765434700006153,1680003350.6459908,"28/03/2023, 17:05:50",1680003359.4114256,0.9550855799985584
8,1Item7,1,Item7,match,Difficult,CORRECT,8.89840630000981,1680003359.4332583,"28/03/2023, 17:05:59",1680003368.3316646,0.9550855799985584
9,1Item8,1,Item8,nomatch,Difficult,INCORRECT,16.455399600003147,1680003368.345868,"28/03/2023, 17:06:08",1680003384.8012676,0.9550855799985584
10,1Item9,1,Item9,match,Difficult,INCORRECT,9.659429499995897,1680003384.8213978,"28/03/2023, 17:06:24",1680003394.480827,0.9550855799985584
11,1Item10,1,Item10,nomatch,Difficult,CORRECT,21.04241419999744,1680003394.496188,"28/03/2023, 17:06:34",1680003415.538602,0.9550855799985584
12,2spl1,2,spl1,match,Easy,CORRECT,6.252160399992135,1680003478.6471725,"28/03/2023, 17:07:58",1680003484.8993328,0.9550855799985584
13,2spl2,2,spl2,nomatch,Easy,CORRECT,7.533956400002353,1680003486.6734822,"28/03/2023, 17:08:06",1680003494.2074385,0.9550855799985584
14,2Item1,2,Item1,match,Easy,CORRECT,4.509170100005576,1680003495.4188228,"28/03/2023, 17:08:15",1680003499.9279928,1.0262118999962695
15,2Item2,2,Item2,match,Easy,CORRECT,3.0500425999925938,1680003500.9962742,"28/03/2023, 17:08:20",1680003504.0463169,0.9966734000045108
16,2Item3,2,Item3,match,Easy,CORRECT,5.445206499993219,1680003505.08189,"28/03/2023, 17:08:25",1680003510.5270965,1.1498813000071095
17,2Item4,2,Item4,nomatch,Medium,CORRECT,11.453220900002634,1680003511.7029796,"28/03/2023, 17:08:31",1680003523.1562004,0.8102900999947451
18,2Item5,2,Item5,match,Medium,CORRECT,7.448545399995055,1680003524.0001438,"28/03/2023, 17:08:44",1680003531.4486892,1.0047801999899093
19,2Item6,2,Item6,match,Medium,INCORRECT,12.24108750000596,1680003532.4827454,"28/03/2023, 17:08:52",1680003544.7238328,1.0837218999949982
20,2Item7,2,Item7,match,Difficult,INCORRECT,34.899006499996176,1680003545.8375604,"28/03/2023, 17:09:05",1680003580.736567,0.7431745000067167
21,2Item8,2,Item8,nomatch,Difficult,CORRECT,8.483289900003001,1680003581.5151565,"28/03/2023, 17:09:41",1680003589.9984465,0.988319900003262
22,2Item9,2,Item9,nomatch,Difficult,INCORRECT,19.09138410000014,1680003591.0252693,"28/03/2023, 17:09:51",1680003610.1166534,0.9882383999938612
23,2Item10,2,Item10,match,Difficult,CORRECT,14.797885799998769,1680003611.1336284,"28/03/2023, 17:10:11",1680003625.9315145,0.7595641999942018
24,3spl1,3,spl1,match,Easy,CORRECT,3.337743699987186,1680003673.4726777,"28/03/2023, 17:11:13",1680003676.8104217,0.9550855799985584
25,3spl2,3,spl2,nomatch,Easy,CORRECT,2.7742399999988265,1680003676.8365617,"28/03/2023, 17:11:16",1680003679.6108017,0.9550855799985584
26,3Item15,3,Item15,nomatch,Difficult,INCORRECT,8.12838219999685,1680003679.634276,"28/03/2023, 17:11:19",1680003687.762658,0.9550855799985584
27,3Item2,3,Item2,match,Easy,CORRECT,2.99982280000404,1680003687.7819774,"28/03/2023, 17:11:27",1680003690.7818005,0.9550855799985584
28,3Item5,3,Item5,match,Easy,CORRECT,3.311917500002892,1680003690.800899,"28/03/2023, 17:11:30",1680003694.1128166,0.9550855799985584
29,3Item12,3,Item12,match,Medium,CORRECT,8.014905899995938,1680003694.13405,"28/03/2023, 17:11:34",1680003702.1489558,0.9550855799985584
30,3Item6,3,Item6,match,Easy,CORRECT,3.667333499994129,1680003702.164358,"28/03/2023, 17:11:42",1680003705.8316915,0.9550855799985584
31,3Item8,3,Item8,nomatch,Medium,CORRECT,11.708548399998108,1680003705.8493102,"28/03/2023, 17:11:45",1680003717.5578585,0.9550855799985584
32,3Item7,3,Item7,match,Medium,CORRECT,6.712749300000724,1680003717.571763,"28/03/2023, 17:11:57",1680003724.2845123,0.9550855799985584
33,3Item9,3,Item9,nomatch,Medium,CORRECT,22.003141799999867,1680003724.2984047,"28/03/2023, 17:12:04",1680003746.3015466,0.9550855799985584
34,3Item17,3,Item17,match,Difficult,INCORRECT,11.119301499988069,1680003746.3221033,"28/03/2023, 17:12:26",1680003757.4414048,0.9550855799985584
35,3Item19,3,Item19,nomatch,Difficult,CORRECT,12.689455400002773,1680003757.4656482,"28/03/2023, 17:12:37",1680003770.1551037,0.9550855799985584
36,3Item11,3,Item11,match,Medium,CORRECT,10.830572899998517,1680003770.176345,"28/03/2023, 17:12:50",1680003781.006918,0.9550855799985584
37,3Item4,3,Item4,match,Easy,CORRECT,10.093456700007664,1680003781.0269625,"28/03/2023, 17:13:01",1680003791.1204193,0.9550855799985584
38,3Item13,3,Item13,match,Difficult,CORRECT,7.794766100007109,1680003791.1398437,"28/03/2023, 17:13:11",1680003798.93461,0.9550855799985584
39,3Item10,3,Item10,match,Easy,CORRECT,1.0,1680003798.93461,"28/03/2023, 07:43:18",1680003799.93461,0.9550855799985584
0,1spl1,1,spl1,match,Easy,INCORRECT,10.800266799982635,1676984654.0079188,"21/02/2023, 18:34:14",1676984664.8081856,1.10481940000318
1,1spl2,1,spl2,nomatch,Easy,INCORRECT,4.553883499931544,1676984664.8897507,"21/02/2023, 18:34:24",1676984669.4436345,1.10481940000318
2,1Item1,1,Item1,match,Easy,CORRECT,7.018957699998282,1676984669.4622722,"21/02/2023, 18:34:29",1676984676.4812298,1.10481940000318
3,1Item2,1,Item2,match,Easy,CORRECT,12.819610300008208,1676984676.498954,"21/02/2023, 18:34:36",1676984689.3185644,1.10481940000318
4,1Item3,1,Item3,match,Easy,CORRECT,17.734157099970616,1676984689.3361669,"21/02/2023, 18:34:49",1676984707.070324,1.10481940000318
5,1Item4,1,Item4,match,Medium,CORRECT,28.35373239999172,1676984707.0870605,"21/02/2023, 18:35:07",1676984735.4407928,1.10481940000318
6,1Item5,1,Item5,nomatch,Medium,CORRECT,36.48539029993117,1676984735.4574869,"21/02/2023, 18:35:35",1676984771.942877,1.10481940000318
7,1Item6,1,Item6,match,Medium,CORRECT,27.52307060000021,1676984771.959428,"21/02/2023, 18:36:11",1676984799.4824986,1.10481940000318
8,1Item7,1,Item7,match,Difficult,INCORRECT,12.663398199947553,1676984799.4997764,"21/02/2023, 18:36:39",1676984812.1631746,1.10481940000318
9,1Item8,1,Item8,nomatch,Difficult,INCORRECT,26.7062546000816,1676984812.1843894,"21/02/2023, 18:36:52",1676984838.8906438,1.10481940000318
10,1Item9,1,Item9,match,Difficult,CORRECT,32.83550519996788,1676984838.906125,"21/02/2023, 18:37:18",1676984871.7416303,1.10481940000318
11,1Item10,1,Item10,nomatch,Difficult,CORRECT,6.476210299995728,1676984871.7576468,"21/02/2023, 18:37:51",1676984878.2338572,1.10481940000318
12,2spl1,2,spl1,match,Easy,CORRECT,16.105887399986386,1676984952.0671475,"21/02/2023, 18:39:12",1676984968.173035,1.10481940000318
13,2spl2,2,spl2,nomatch,Easy,INCORRECT,14.449039799976164,1676984969.9977677,"21/02/2023, 18:39:29",1676984984.4468074,1.10481940000318
14,2Item1,2,Item1,match,Easy,CORRECT,17.623109499923885,1676984986.521046,"21/02/2023, 18:39:46",1676985004.1441555,1.914909700048156
15,2Item2,2,Item2,match,Easy,INCORRECT,14.62464630010072,1676985006.088297,"21/02/2023, 18:40:06",1676985020.712943,1.4828522000461817
16,2Item3,2,Item3,match,Easy,CORRECT,25.24156669992953,1676985022.225292,"21/02/2023, 18:40:22",1676985047.4668586,1.2622758999932555
17,2Item4,2,Item4,nomatch,Medium,CORRECT,10.21244009991642,1676985048.7678344,"21/02/2023, 18:40:48",1676985058.9802744,1.10481940000318
18,2Item5,2,Item5,match,Medium,INCORRECT,15.877383599989116,1676985060.113615,"21/02/2023, 18:41:00",1676985075.9909987,1.3272275000344962
19,2Item6,2,Item6,match,Medium,CORRECT,16.260320300003514,1676985077.3492105,"21/02/2023, 18:41:17",1676985093.6095307,1.1482547000050545
20,2Item7,2,Item7,match,Difficult,CORRECT,20.859496799996123,1676985094.7897077,"21/02/2023, 18:41:34",1676985115.6492045,1.3251993999583649
21,2Item8,2,Item8,nomatch,Difficult,INCORRECT,13.541462799999865,1676985117.0046911,"21/02/2023, 18:41:57",1676985130.546154,1.23476609995123
22,2Item9,2,Item9,nomatch,Difficult,CORRECT,29.5400369000854,1676985131.816083,"21/02/2023, 18:42:11",1676985161.35612,2.142083700047806
23,2Item10,2,Item10,match,Difficult,CORRECT,20.13911550003104,1676985163.532077,"21/02/2023, 18:42:43",1676985183.6711926,1.1277521000010893
24,3spl1,3,spl1,match,Easy,CORRECT,10.863249500049278,1676985258.6874704,"21/02/2023, 18:44:18",1676985269.55072,1.10481940000318
25,3Item15,3,Item15,nomatch,Difficult,CORRECT,10.187834999989718,1676985270.7580256,"21/02/2023, 18:44:30",1676985280.9458606,1.10481940000318
26,3Item2,3,Item2,match,Easy,CORRECT,18.79182809998747,1676985280.963716,"21/02/2023, 18:44:40",1676985299.7555442,1.10481940000318
27,3Item5,3,Item5,match,Easy,CORRECT,14.518368900055066,1676985299.7713392,"21/02/2023, 18:44:59",1676985314.289708,1.10481940000318
28,3Item12,3,Item12,match,Medium,CORRECT,15.427699699997902,1676985314.306563,"21/02/2023, 18:45:14",1676985329.7342627,1.10481940000318
29,3Item6,3,Item6,match,Easy,INCORRECT,16.067476899945177,1676985329.7506645,"21/02/2023, 18:45:29",1676985345.8181417,1.10481940000318
30,3Item8,3,Item8,nomatch,Medium,INCORRECT,18.051560499938205,1676985345.8343918,"21/02/2023, 18:45:45",1676985363.8859522,1.10481940000318
31,3Item7,3,Item7,match,Medium,CORRECT,14.737640199949965,1676985363.9024422,"21/02/2023, 18:46:03",1676985378.6400824,1.10481940000318
32,3Item9,3,Item9,match,Easy,CORRECT,12.0,1676985378.6400824,"21/02/2023, 08:16:18",1676985390.6400824,1.10481940000318
0,1spl1,1,spl1,match,Easy,CORRECT,19.1456933999998,1678717040.109505,2023-03-13 19:47:20,1678717059.2551982,0.9944142000003922
1,1spl2,1,spl2,nomatch,Easy,CORRECT,20.72870210000019,1678717059.3221974,2023-03-13 19:47:39,1678717080.0508995,0.9944142000003922
2,1Item1,1,Item1,match,Easy,CORRECT,25.205074800000148,1678717080.0803275,2023-03-13 19:48:00,1678717105.2854023,0.9944142000003922
3,1Item2,1,Item2,match,Easy,CORRECT,26.603361600000422,1678717105.3040934,2023-03-13 19:48:25,1678717131.907455,0.9944142000003922
4,1Item3,1,Item3,match,Easy,CORRECT,16.740123399999902,1678717131.924991,2023-03-13 19:48:51,1678717148.6651144,0.9944142000003922
5,1Item4,1,Item4,match,Medium,CORRECT,24.064989600000445,1678717148.681053,2023-03-13 19:49:08,1678717172.7460425,0.9944142000003922
6,1Item5,1,Item5,nomatch,Medium,CORRECT,83.3821539999999,1678717172.7642536,2023-03-13 19:49:32,1678717256.1464076,0.9944142000003922
7,1Item6,1,Item6,match,Medium,INCORRECT,20.231434199999967,1678717256.1640189,2023-03-13 19:50:56,1678717276.395453,0.9944142000003922
8,1Item7,1,Item7,match,Difficult,CORRECT,19.564964899999723,1678717276.4142232,2023-03-13 19:51:16,1678717295.9791882,0.9944142000003922
9,1Item8,1,Item8,nomatch,Difficult,CORRECT,29.861888200000067,1678717295.9960124,2023-03-13 19:51:35,1678717325.8579006,0.9944142000003922
10,1Item9,1,Item9,match,Difficult,INCORRECT,31.04572479999933,1678717325.8737414,2023-03-13 19:52:05,1678717356.9194665,0.9944142000003922
11,1Item10,1,Item10,nomatch,Difficult,CORRECT,20.371571500000755,1678717356.940653,2023-03-13 19:52:36,1678717377.3122246,0.9944142000003922
12,2spl1,2,spl1,match,Easy,CORRECT,7.230046099999527,1678717516.4026315,2023-03-13 19:55:16,1678717523.6326776,0.9944142000003922
13,2spl2,2,spl2,nomatch,Easy,INCORRECT,10.581847099998413,1678717526.929775,2023-03-13 19:55:26,1678717537.5116222,0.9944142000003922
14,2Item1,2,Item1,match,Easy,CORRECT,9.9782737000005,1678717543.0347712,2023-03-13 19:55:43,1678717553.0130448,1.6897688999997629
15,2Item2,2,Item2,match,Easy,CORRECT,9.822451600000932,1678717554.7338617,2023-03-13 19:55:54,1678717564.5563133,1.2764210999994248
16,2Item3,2,Item3,match,Easy,CORRECT,21.187258799998745,1678717565.8610198,2023-03-13 19:56:05,1678717587.0482786,1.1266427000009571
17,2Item4,2,Item4,nomatch,Medium,INCORRECT,19.955493200001,1678717588.2096057,2023-03-13 19:56:28,1678717608.165099,1.1747519000000466
18,2Item5,2,Item5,match,Medium,CORRECT,23.17012600000089,1678717609.3688576,2023-03-13 19:56:49,1678717632.5389836,1.1125195999993591
19,2Item6,2,Item6,match,Medium,CORRECT,17.98675230000117,1678717633.6836996,2023-03-13 19:57:13,1678717651.670452,1.200662100000045
20,2Item7,2,Item7,match,Difficult,CORRECT,50.846439500001,1678717652.90326,2023-03-13 19:57:32,1678717703.7496996,1.2056629999988218
21,2Item8,2,Item8,nomatch,Difficult,CORRECT,39.989213000000746,1678717704.985536,2023-03-13 19:58:24,1678717744.974749,1.0502618999998958
22,2Item9,2,Item9,nomatch,Difficult,CORRECT,27.565694200000507,1678717746.0629015,2023-03-13 19:59:06,1678717773.6285956,0.9944142000003922
23,2Item10,2,Item10,match,Difficult,CORRECT,50.53496980000091,1678717774.6573932,2023-03-13 19:59:34,1678717825.192363,1.0622404999994617
24,3spl1,3,spl1,match,Easy,INCORRECT,6.460046300000613,1678717905.9113302,2023-03-13 20:01:45,1678717912.3713765,0.9944142000003922
25,3Item15,3,Item15,nomatch,Difficult,CORRECT,10.482653999999457,1678717917.9806952,2023-03-13 20:01:57,1678717928.463349,0.9944142000003922
26,3Item2,3,Item2,match,Easy,CORRECT,8.932326600001034,1678717928.477217,2023-03-13 20:02:08,1678717937.4095435,0.9944142000003922
27,3Item5,3,Item5,match,Easy,CORRECT,5.747664700000314,1678717937.42801,2023-03-13 20:02:17,1678717943.175675,0.9944142000003922
28,3Item12,3,Item12,match,Medium,SKIP,13.993153999999777,1678717943.1920104,2023-03-13 20:02:23,1678717957.1851645,0.9944142000003922
29,3Item6,3,Item6,match,Easy,CORRECT,7.080657299999075,1678717957.2020566,2023-03-13 20:02:37,1678717964.282714,0.9944142000003922
30,3Item8,3,Item8,nomatch,Medium,INCORRECT,9.58235550000063,1678717964.2963307,2023-03-13 20:02:44,1678717973.8786862,0.9944142000003922
31,3Item7,3,Item7,match,Medium,SKIP,13.289603200000784,1678717973.8950744,2023-03-13 20:02:53,1678717987.1846776,0.9944142000003922
32,3Item9,3,Item9,nomatch,Medium,SKIP,6.149165999999241,1678717987.2052474,2023-03-13 20:03:07,1678717993.3544135,0.9944142000003922
33,3Item17,3,Item17,match,Difficult,CORRECT,10.668898099998842,1678717993.3712316,2023-03-13 20:03:13,1678718004.0401297,0.9944142000003922
34,3Item19,3,Item19,nomatch,Difficult,SKIP,3.129224599999361,1678718004.0605748,2023-03-13 20:03:24,1678718007.1897993,0.9944142000003922
35,3Item11,3,Item11,match,Medium,SKIP,3.8672079000007216,1678718007.2059608,2023-03-13 20:03:27,1678718011.0731688,0.9944142000003922
36,3Item4,3,Item4,match,Easy,CORRECT,7.434928800001217,1678718011.0894818,2023-03-13 20:03:31,1678718018.5244107,0.9944142000003922
37,3Item13,3,Item13,match,Difficult,SKIP,6.533132700000351,1678718018.5412102,2023-03-13 20:03:38,1678718025.074343,0.9944142000003922
38,3Item10,3,Item10,match,Medium,CORRECT,4.2161508000008325,1678718025.0889902,2023-03-13 20:03:45,1678718029.305141,0.9944142000003922
39,3Item14,3,Item14,match,Difficult,CORRECT,4.220323600000484,1678718029.317037,2023-03-13 20:03:49,1678718033.537361,0.9944142000003922
40,3Item3,3,Item3,match,Easy,CORRECT,3.292392800000016,1678718033.554555,2023-03-13 20:03:53,1678718036.8469477,0.9944142000003922
41,3Item20,3,Item20,match,Easy,CORRECT,2.0,1678718036.8469477,2023-03-13 10:33:56,1678718038.8469477,0.9944142000003922
0,1spl1,1,spl1,match,Easy,CORRECT,9.271100000012666,1676378840.625968,"14/02/2023, 18:17:20",1676378849.897068,1.1921682999818586
1,1spl2,1,spl2,nomatch,Easy,INCORRECT,10.498789700039197,1676378849.9711802,"14/02/2023, 18:17:29",1676378860.46997,1.1921682999818586
2,1Item1,1,Item1,match,Easy,INCORRECT,15.956877299991902,1676378860.4961317,"14/02/2023, 18:17:40",1676378876.453009,1.1921682999818586
3,1Item2,1,Item2,match,Easy,CORRECT,24.23241239995696,1676378876.470489,"14/02/2023, 18:17:56",1676378900.7029014,1.1921682999818586
4,1Item3,1,Item3,match,Easy,CORRECT,30.40208299999358,1676378900.7228382,"14/02/2023, 18:18:20",1676378931.124921,1.1921682999818586
5,1Item4,1,Item4,match,Medium,CORRECT,27.1183466000366,1676378931.1480026,"14/02/2023, 18:18:51",1676378958.2663493,1.1921682999818586
6,1Item5,1,Item5,nomatch,Medium,CORRECT,15.13586260000011,1676378958.2847924,"14/02/2023, 18:19:18",1676378973.420655,1.1921682999818586
7,1Item6,1,Item6,match,Medium,INCORRECT,17.504845100047532,1676378973.4383688,"14/02/2023, 18:19:33",1676378990.943214,1.1921682999818586
